plate_id,violation_date,violation_type,county
AZ5112,10/15/2025,SCHOOL_ZONE_SPEEDING,Queens County
QF1885,10/19/2025,SPEED_CAMERA_VIOLATION,New York County
IB5832,10/21/2025,SCHOOL_ZONE_SPEEDING,New York County
AV2656,10/19/2025,SCHOOL_ZONE_SPEEDING,Bronx County
BA1635,10/23/2025,SCHOOL_ZONE_SPEEDING,Queens County
SK3409,10/30/2025,SCHOOL_ZONE_SPEEDING,Bronx County
AC2616,10/20/2025,SPEED_CAMERA_VIOLATION,Bronx County
AM1438,10/27/2025,SCHOOL_ZONE_SPEEDING,Kings County
ET7435,10/29/2025,SPEED_CAMERA_VIOLATION,Queens County
AZ4265,10/16/2025,SPEED_CAMERA_VIOLATION,Bronx County
SA2145,10/29/2025,SPEED_CAMERA_VIOLATION,New York County
NZ7265,10/20/2025,SPEED_CAMERA_VIOLATION,Queens County
LA5763,10/27/2025,SPEED_CAMERA_VIOLATION,Queens County
AF6961,10/30/2025,SPEED_CAMERA_VIOLATION,Queens County
KE3621,10/21/2025,SCHOOL_ZONE_SPEEDING,Richmond County
AZ4746,10/15/2025,SCHOOL_ZONE_SPEEDING,New York County
SQ1487,10/29/2025,SPEED_CAMERA_VIOLATION,Richmond County
QF1141,10/15/2025,SPEED_CAMERA_VIOLATION,Richmond County
EK2269,10/22/2025,SCHOOL_ZONE_SPEEDING,Queens County
SA8877,10/17/2025,SCHOOL_ZONE_SPEEDING,Bronx County
CX3169,10/18/2025,SCHOOL_ZONE_SPEEDING,Richmond County
DL4692,10/15/2025,SCHOOL_ZONE_SPEEDING,Richmond County
SQ8844,10/15/2025,SPEED_CAMERA_VIOLATION,Kings County
SK8764,10/19/2025,SPEED_CAMERA_VIOLATION,Bronx County
AZ9050,10/21/2025,SPEED_CAMERA_VIOLATION,Richmond County
SK2568,10/28/2025,SPEED_CAMERA_VIOLATION,New York County
AI9700,10/24/2025,SPEED_CAMERA_VIOLATION,New York County
AI6017,10/16/2025,SPEED_CAMERA_VIOLATION,Richmond County
DL3554,10/18/2025,SCHOOL_ZONE_SPEEDING,New York County
UA9725,10/18/2025,SPEED_CAMERA_VIOLATION,Richmond County
QR5930,10/17/2025,SCHOOL_ZONE_SPEEDING,Richmond County
KL7028,10/16/2025,SCHOOL_ZONE_SPEEDING,Kings County
UA9423,10/17/2025,SPEED_CAMERA_VIOLATION,Kings County
KE1522,10/20/2025,SPEED_CAMERA_VIOLATION,Queens County
AM9767,10/29/2025,SCHOOL_ZONE_SPEEDING,New York County
IB4790,10/20/2025,SCHOOL_ZONE_SPEEDING,Kings County
ET4947,10/26/2025,SPEED_CAMERA_VIOLATION,New York County
SQ7108,10/27/2025,SCHOOL_ZONE_SPEEDING,Queens County
AA1659,10/26/2025,SCHOOL_ZONE_SPEEDING,Kings County
AZ9476,10/23/2025,SCHOOL_ZONE_SPEEDING,Kings County
AZ8963,10/28/2025,SPEED_CAMERA_VIOLATION,Bronx County
AI2711,10/30/2025,SPEED_CAMERA_VIOLATION,Richmond County
IB5771,10/21/2025,SPEED_CAMERA_VIOLATION,Richmond County
SA2806,10/19/2025,SCHOOL_ZONE_SPEEDING,New York County
QR5179,10/28/2025,SPEED_CAMERA_VIOLATION,Kings County
AV1794,10/21/2025,SPEED_CAMERA_VIOLATION,Kings County
AZ7443,10/22/2025,SPEED_CAMERA_VIOLATION,New York County
NZ4231,10/23/2025,SPEED_CAMERA_VIOLATION,New York County
UA5158,10/25/2025,SCHOOL_ZONE_SPEEDING,Richmond County
IB7853,10/20/2025,SCHOOL_ZONE_SPEEDING,New York County
QR2822,10/21/2025,SCHOOL_ZONE_SPEEDING,Richmond County
LH3478,10/23/2025,SCHOOL_ZONE_SPEEDING,Kings County
CX3481,10/21/2025,SPEED_CAMERA_VIOLATION,Queens County
QR5610,10/25/2025,SCHOOL_ZONE_SPEEDING,Bronx County
AZ2773,10/27/2025,SPEED_CAMERA_VIOLATION,Richmond County
LH2341,10/29/2025,SCHOOL_ZONE_SPEEDING,New York County
SQ5891,10/23/2025,SPEED_CAMERA_VIOLATION,Bronx County
NZ2284,10/30/2025,SCHOOL_ZONE_SPEEDING,Richmond County
QR7176,10/16/2025,SPEED_CAMERA_VIOLATION,Richmond County
WN2726,10/28/2025,SPEED_CAMERA_VIOLATION,Kings County
LH6753,10/27/2025,SPEED_CAMERA_VIOLATION,Bronx County
AI6362,10/29/2025,SCHOOL_ZONE_SPEEDING,Kings County
AI1179,10/23/2025,SCHOOL_ZONE_SPEEDING,Richmond County
IB1460,10/20/2025,SCHOOL_ZONE_SPEEDING,Richmond County
TG4623,10/26/2025,SCHOOL_ZONE_SPEEDING,New York County
AM2109,10/28/2025,SPEED_CAMERA_VIOLATION,Queens County
ET2424,10/29/2025,SCHOOL_ZONE_SPEEDING,Kings County
DL3421,10/19/2025,SPEED_CAMERA_VIOLATION,New York County
WN5669,10/27/2025,SCHOOL_ZONE_SPEEDING,Queens County
EK7931,10/24/2025,SPEED_CAMERA_VIOLATION,New York County
AM6142,10/28/2025,SPEED_CAMERA_VIOLATION,Bronx County
AZ4564,10/27/2025,SPEED_CAMERA_VIOLATION,New York County
NH4238,10/21/2025,SPEED_CAMERA_VIOLATION,Bronx County
KL6376,10/22/2025,SCHOOL_ZONE_SPEEDING,Queens County
ET9810,10/30/2025,SCHOOL_ZONE_SPEEDING,New York County
BA8723,10/24/2025,SPEED_CAMERA_VIOLATION,New York County
KE2609,10/27/2025,SCHOOL_ZONE_SPEEDING,New York County
ET7671,10/21/2025,SCHOOL_ZONE_SPEEDING,New York County
AC6622,10/21/2025,SCHOOL_ZONE_SPEEDING,Kings County
